tiempo,valores
2019,587
2018,513
2017,506
2016,447
2015,484
2014,372
2013,405
2012,387
2011,383
2010,398
2009,447
2008,451
2007,455
2006,461
2005,467
2004,502
2003,578
2002,569
2001,558
2000,547
1999,497
1998,511
1997,284
1996,262
1995,267
1994,272
1993,217
1992,237
1991,215
1990,200
1989,180
1988,174
1987,196
1986,222
1985,218
1984,226
1977,189
1976,249
1975,261
1974,278
1972,236
1969,155
1968,253
1967,490
1966,426
1965,410
1964,309
1963,264
1962,213
1961,208
1960,121
