tiempo,valores
1960,121
1961,208
1962,213
1963,264
1964,309
1965,410
1966,426
1967,490
1968,253
1969,155
1972,236
1974,278
1975,261
1976,249
1977,189
1984,226
1985,218
1986,222
1987,196
1988,174
1989,180
1990,200
1991,215
1992,237
1993,217
1994,272
1995,267
1996,262
1997,284
1998,511
1999,497
2000,547
2001,558
2002,569
2003,578
2004,502
2005,467
2006,461
2007,455
2008,451
2009,447
2010,398
2011,383
2012,387
2013,405
2014,372
2015,484
2016,447
2017,506
2018,513
2019,587
