tiempo,valores
1960,294
1961,376
1962,497
1963,495
1964,524
1965,698
1966,664
1967,754
1968,552
1969,429
1972,543
1974,642
1975,581
1976,601
1977,544
1984,844
1985,792
1986,754
1987,767
1988,752
1989,662
1990,680
1991,805
1992,864
1993,888
1994,952
1995,905
1996,967
1997,976
1998,1601
1999,1666
2000,1831
2001,1868
2002,1827
2003,1705
2004,1762
2005,1652
2006,1727
2007,1736
2008,1783
2009,1812
2010,1720
2011,1669
2012,1739
2013,1669
2014,1764
2015,1863
2016,2033
2017,2203
2018,2356
2019,2340
